ViralLoad,FlowRate,VLinStool,StoolProduc,Shedvirus,ppl
67380000,3.495607,11.441885,9.381817,0.3734277,5875739.611
3570000,4.555982,14.839511,9.805488,0.5150018,217046.4396
1554023.4,3.239847,14.632054,4.469037,0.5358706,143682.1703
2802574.8,4.180245,3.965372,7.876017,0.4078679,919705.6222
639606.18,3.585934,2.774934,7.597778,0.3717382,292643.2382
1368109.2,3.7829738,14.4051309,3.1243463,0.28,410695.2611
1544835,4.0830754,16.7211472,3.997276,0.14,674079.7154
6605502,3.7829738,11.8769739,3.2429716,0.63,1029792.359
42458400,3.2818937,12.0318778,4.2882511,0.5,5401377.239
42458400,3.6368912,25.3917089,5.2017209,0.43,2718857.843
8781876,3.961227,11.1450653,3.2036056,0.86,1132913.934
10041882,3.2180278,11.2793812,1.9737728,0.73,1988381.03
12286983.6,4.5892101,13.1305916,2.2085352,0.25,7777760.959
42458400,4.765699,20.2577557,1.3296859,0.3,25039669.11
