,Ct value (IC),Ct Value (ORF1ab),Ct Value (N),Ct value (IC),Ct Value (ORF1ab),Ct Value (N)
Sample-72,,37.48,35.56,,,
Sample-36,34.74,36.66,35.44,,,
Sample-109,38.49,34.27,,38.51,,
Sample-106,39.12,,36.49,38.32,,
Sample-1,,,34.35,36.8,,
Sample-70,,34.32,,36.73,,
Sample-51,39.48,37.4,35.21,34.7,,
Sample-61,36.13,34.35,35.17,31.53,,
Sample-83,38.43,39.37,,,39.73,
Sample-46,,37.41,36.44,38.23,39.12,
Sample-112,,37.4,32.34,37.5,38.5,
Sample-37,35.81,,,,38.39,
Sample-89,36.31,38.12,,32.52,38.32,
Sample-117,,36.49,34.12,,37.82,
Sample-54,37.5,35.4,32.14,,37.79,
Sample-42,31.17,33.34,36.37,36.42,37.41,
Sample-24,,27.15,,36.24,37.23,
Sample-76,,,36.48,36.51,37.15,
Sample-49,,37.56,36.2,,37.12,
Sample-96,36.29,36.09,36.79,37.12,36.5,
Sample-26,25.45,,34.48,,36.31,
Sample-33,37.24,,37.42,37.46,36.23,
Sample-81,38.1,38.11,38.53,37.56,35.55,
Sample-45,38.04,,33.11,,35.54,
Sample-84,38.3,37.89,,37.42,35.32,
Sample-8,37.09,37.21,,38.51,35.22,
Sample-3,,,34.1,36.31,34.62,
Sample-2,,37.12,35.47,,34.31,
Sample-56,32.28,26.14,26.28,34.32,33.9,
Sample-57,,34.83,,39.7,33.76,
Sample-67,38.4,,37.48,,32.21,
Sample-60,37.21,34.43,37.11,,38.81,39.65
Sample-77,,38.4,,37.28,38.73,39.33
Sample-71,,36.8,,35,38.75,39.32
Sample-116,36.29,,,,36.42,39.23
Sample-92,39.31,,,38.43,37.22,38.42
Sample-62,,37.33,38.75,,32.75,38.4
Sample-65,32.6,,36.2,38.41,,38.21
Sample-20,,36.05,29.5,,33.32,38.12
Sample-90,38.61,,,37.12,35.44,37.84
Sample-18,35.57,,,,39.33,37.82
Sample-9,,,37.36,35.21,36.42,37.81
Sample-21,,37.65,,,36.6,37.72
Sample-94,36.37,35.69,32.69,36.12,,37.7
Sample-27,38.96,32.08,36.8,38.54,,37.61
Sample-86,36.74,37.29,,37.6,,37.54
Sample-39,32.31,,37.42,37,,37.4
Sample-88,37.54,38.34,,36.49,36.83,37.36
Sample-85,37.67,38.15,,28.18,36.81,37.36
Sample-95,,,,,35.7,37.33
Sample-30,38.37,34.48,37.4,,,37.21
Sample-15,,38.2,36.4,36.11,,37.21
Sample-75,,37.4,39.48,38.2,35.4,37
Sample-66,34.72,33.36,37.4,35.76,,36.74
Sample-14,,36.49,,35.65,,36.74
Sample-87,37.74,37.81,39.85,39.4,38.4,36.7
Sample-100,,36,,,38.2,36.43
Sample-50,35.4,33.2,32.6,38.51,33.64,36.4
Sample-101,,,,,37.37,36.34
Sample-115,37.39,37.79,36.69,38.31,36.11,36.23
Sample-99,32.27,36.43,37.96,38.76,39.6,35.71
Sample-98,,,,36.42,35.53,35.64
Sample-80,36.01,39.28,40,,37.32,35.56
Sample-104,35.15,,37.65,33.14,32.12,35.27
Sample-35,,,37.48,36.31,,35.21
Sample-48,31.31,,33.37,35.71,,35.21
Sample-119,35.57,,38.4,,,34.76
Sample-32,38.44,36.08,34.12,36.41,35.31,34.61
Sample-38,,37.58,37.42,,,34.4
Sample-111,,37.38,,,36.54,33.78
Sample-108,27.88,34.32,,31.87,,33.75
Sample-91,,,,36,36.35,33.68
Sample-82,,,,35.44,34.32,33.67
Sample-43,30.72,34.37,,34,,33.64
Sample-12,37.62,29.56,,,,33.51
Sample-93,36.97,33.41,29.61,37.53,33.53,33.44
Sample-107,,,38.73,,,33.21
Sample-34,36.21,34.43,37.41,36.7,39.65,32.32
Sample-5,,,,,33.65,32.13
Sample-40,,37.41,34.42,,33.21,31.41
Sample-97,,,36,36.43,32.11,31.12
Sample-105,37.52,33.14,,,33.33,31
